,Helipad_number,FAA_index,latitude,longitude,zoom,groundtruth,category,minX,minY,maxX,maxY,url
48,67,793,33.432875,-86.71609444,20,TRUE,6,219,261,408,441,"http://maps.googleapis.com/maps/api/staticmap?center=33.432875,-86.71609444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
50,69,795,33.47866667,-86.702,20,TRUE,7,81,213,156,293,"http://maps.googleapis.com/maps/api/staticmap?center=33.47866666666667,-86.70200000000001&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
51,70,796,33.59697222,-86.66780833,20,TRUE,1,241,238,395,379,"http://maps.googleapis.com/maps/api/staticmap?center=33.596972222222234,-86.66780833333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
55,74,804,31.12566944,-87.07346944,20,TRUE,1,243,240,400,393,"http://maps.googleapis.com/maps/api/staticmap?center=31.125669444444448,-87.07346944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
56,75,805,34.91384167,-85.77086111,20,TRUE,2,268,221,422,385,"http://maps.googleapis.com/maps/api/staticmap?center=34.91384166666666,-85.77086111111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
57,76,807,32.09348333,-88.21019167,20,TRUE,1,80,318,331,562,"http://maps.googleapis.com/maps/api/staticmap?center=32.09348333333334,-88.21019166666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
58,77,809,33.27420833,-88.08933333,20,TRUE,1,254,239,349,337,"http://maps.googleapis.com/maps/api/staticmap?center=33.27420833333333,-88.08933333333331&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
59,78,817,33.32243333,-86.35788056,20,TRUE,1,249,244,380,385,"http://maps.googleapis.com/maps/api/staticmap?center=33.322433333333336,-86.35788055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
60,79,818,31.08959722,-88.24507222,20,TRUE,1,250,256,369,370,"http://maps.googleapis.com/maps/api/staticmap?center=31.089597222222217,-88.24507222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
62,81,821,32.8005,-86.4465,20,TRUE,1,159,224,234,306,"http://maps.googleapis.com/maps/api/staticmap?center=32.8005,-86.4465&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
63,82,824,33.18661944,-86.6268,20,TRUE,8,269,220,393,333,"http://maps.googleapis.com/maps/api/staticmap?center=33.18661944444444,-86.62679999999997&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
64,83,826,32.17237444,-85.02881917,20,TRUE,other,124,209,288,377,"http://maps.googleapis.com/maps/api/staticmap?center=32.17237444444444,-85.02881916666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
65,84,830,34.20198333,-86.8065,20,TRUE,1,208,226,408,407,"http://maps.googleapis.com/maps/api/staticmap?center=34.20198333333334,-86.8065&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
66,85,832,32.81849167,-85.74151111,20,TRUE,1,269,277,376,371,"http://maps.googleapis.com/maps/api/staticmap?center=32.81849166666667,-85.74151111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
67,86,833,34.373,-87.0805,20,TRUE,8,142,221,367,406,"http://maps.googleapis.com/maps/api/staticmap?center=34.373000000000005,-87.0805&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
68,87,834,30.65463611,-87.85425278,20,TRUE,6,212,222,411,412,"http://maps.googleapis.com/maps/api/staticmap?center=30.654636111111113,-87.85425277777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
69,88,837,34.59209722,-86.972125,20,TRUE,1,245,240,395,395,"http://maps.googleapis.com/maps/api/staticmap?center=34.59209722222222,-86.972125&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
70,89,839,32.50555556,-87.83638889,20,TRUE,6,286,119,402,247,"http://maps.googleapis.com/maps/api/staticmap?center=32.505555555555546,-87.83638888888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
71,90,842,31.23736667,-85.45478333,20,TRUE,2,234,229,415,404,"http://maps.googleapis.com/maps/api/staticmap?center=31.23736666666667,-85.45478333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
73,92,846,30.31545,-87.57237778,20,TRUE,other,225,222,406,395,"http://maps.googleapis.com/maps/api/staticmap?center=30.31545,-87.57237777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
74,93,851,31.88945278,-85.15621667,20,TRUE,1,247,252,400,400,"http://maps.googleapis.com/maps/api/staticmap?center=31.889452777777773,-85.15621666666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
75,94,855,31.4301,-86.94021667,20,TRUE,unknown,267,276,377,371,"http://maps.googleapis.com/maps/api/staticmap?center=31.4301,-86.94021666666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
76,95,857,33.70916667,-87.82361111,20,TRUE,1,311,223,476,397,"http://maps.googleapis.com/maps/api/staticmap?center=33.70916666666667,-87.82361111111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
77,96,859,34.76891944,-85.69620556,20,TRUE,1,197,179,288,273,"http://maps.googleapis.com/maps/api/staticmap?center=34.76891944444444,-85.69620555555557&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
78,97,863,31.00091111,-86.31365556,20,TRUE,1,250,233,386,386,"http://maps.googleapis.com/maps/api/staticmap?center=31.00091111111111,-86.31365555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
80,99,869,30.42666944,-87.68511389,20,TRUE,1,272,272,365,357,"http://maps.googleapis.com/maps/api/staticmap?center=30.42666944444445,-87.68511388888889&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
81,100,872,32.60131389,-87.78350556,20,TRUE,other,262,254,389,390,"http://maps.googleapis.com/maps/api/staticmap?center=32.60131388888889,-87.78350555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
82,101,874,34.44220278,-85.75581944,20,TRUE,4,309,370,415,468,"http://maps.googleapis.com/maps/api/staticmap?center=34.442202777777766,-85.75581944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
92,111,886,31.81668611,-85.65181667,20,TRUE,8,291,60,498,260,"http://maps.googleapis.com/maps/api/staticmap?center=31.81668611111111,-85.65181666666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
105,124,900,34.00833333,-85.96527778,20,TRUE,1,361,236,453,327,"http://maps.googleapis.com/maps/api/staticmap?center=34.00833333333333,-85.9652777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
107,126,906,31.04962306,-85.89160278,20,TRUE,1,0,112,111,271,"http://maps.googleapis.com/maps/api/staticmap?center=31.049623055555557,-85.89160277777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
108,127,916,34.36517222,-86.422975,20,TRUE,1,240,247,396,401,"http://maps.googleapis.com/maps/api/staticmap?center=34.36517222222222,-86.42297500000002&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
109,128,918,34.24236944,-87.59229167,20,TRUE,1,257,264,368,371,"http://maps.googleapis.com/maps/api/staticmap?center=34.24236944444444,-87.59229166666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
110,129,921,34.12719444,-87.99083333,20,TRUE,1,271,287,391,400,"http://maps.googleapis.com/maps/api/staticmap?center=34.12719444444444,-87.99083333333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
112,131,933,33.35278056,-86.78786111,20,TRUE,4,288,294,344,349,"http://maps.googleapis.com/maps/api/staticmap?center=33.352780555555555,-86.78786111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
113,132,934,33.42027778,-86.66944444,20,TRUE,6,252,194,408,363,"http://maps.googleapis.com/maps/api/staticmap?center=33.420277777777784,-86.66944444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
114,133,935,33.35472222,-86.85583333,20,TRUE,1,61,189,203,311,"http://maps.googleapis.com/maps/api/staticmap?center=33.35472222222222,-86.85583333333332&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
116,135,942,34.72099611,-86.58083917,20,TRUE,1,387,143,510,263,"http://maps.googleapis.com/maps/api/staticmap?center=34.72099611111111,-86.58083916666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
117,136,949,33.84400556,-87.23666389,20,TRUE,1,239,238,399,372,"http://maps.googleapis.com/maps/api/staticmap?center=33.844005555555555,-87.23666388888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
118,137,950,32.95923056,-86.51956389,20,TRUE,3,266,280,372,366,"http://maps.googleapis.com/maps/api/staticmap?center=32.95923055555556,-86.51956388888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
119,138,954,34.13226111,-85.79540833,20,TRUE,3,282,245,375,321,"http://maps.googleapis.com/maps/api/staticmap?center=34.13226111111111,-85.79540833333333&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
120,139,955,34.99375,-87.34194444,20,TRUE,8,273,281,362,374,"http://maps.googleapis.com/maps/api/staticmap?center=34.99375,-87.34194444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
121,140,966,31.27350361,-88.01250056,20,TRUE,3,285,273,443,428,"http://maps.googleapis.com/maps/api/staticmap?center=31.27350361111111,-88.01250055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
122,140,966,31.27350361,-88.01250056,20,TRUE,3,317,507,476,638,"http://maps.googleapis.com/maps/api/staticmap?center=31.27350361111111,-88.01250055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
123,141,970,30.67935694,-88.20000333,20,TRUE,2,203,109,340,234,"http://maps.googleapis.com/maps/api/staticmap?center=30.67935694444445,-88.20000333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
124,142,973,30.70798333,-88.09846944,20,TRUE,1,207,209,433,428,"http://maps.googleapis.com/maps/api/staticmap?center=30.70798333333333,-88.09846944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
125,143,975,31.49885,-87.32083611,20,TRUE,1,230,240,410,396,"http://maps.googleapis.com/maps/api/staticmap?center=31.49885,-87.32083611111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
126,144,977,32.32752778,-86.27655556,20,TRUE,1,239,247,351,362,"http://maps.googleapis.com/maps/api/staticmap?center=32.32752777777778,-86.27655555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
127,145,978,32.37786389,-86.29596111,20,TRUE,other,217,183,361,319,"http://maps.googleapis.com/maps/api/staticmap?center=32.37786388888889,-86.29596111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
128,146,981,32.40916389,-86.25611111,20,TRUE,other,296,213,392,300,"http://maps.googleapis.com/maps/api/staticmap?center=32.40916388888889,-86.25611111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
129,147,985,34.48407778,-87.284875,20,TRUE,1,235,239,389,400,"http://maps.googleapis.com/maps/api/staticmap?center=34.484077777777784,-87.284875&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
130,148,987,33.67762778,-86.87034444,20,TRUE,other,281,278,361,353,"http://maps.googleapis.com/maps/api/staticmap?center=33.677627777777765,-86.87034444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
131,149,990,34.74728611,-87.67777222,20,TRUE,1,246,245,391,386,"http://maps.googleapis.com/maps/api/staticmap?center=34.74728611111111,-87.67777222222223&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
132,150,991,33.45482222,-87.36065,20,TRUE,3,310,197,393,297,"http://maps.googleapis.com/maps/api/staticmap?center=33.454822222222234,-87.36064999999998&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
133,151,993,33.78486667,-86.05067222,20,TRUE,0,298,245,380,324,"http://maps.googleapis.com/maps/api/staticmap?center=33.784866666666666,-86.05067222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
134,152,995,33.92972222,-86.49472222,20,TRUE,1,186,88,314,215,"http://maps.googleapis.com/maps/api/staticmap?center=33.92972222222222,-86.49472222222221&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
135,153,996,32.63916667,-85.40222222,20,TRUE,1,171,28,350,200,"http://maps.googleapis.com/maps/api/staticmap?center=32.63916666666667,-85.40222222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
136,154,998,30.27777778,-87.54333333,20,TRUE,4,200,188,296,281,"http://maps.googleapis.com/maps/api/staticmap?center=30.277777777777782,-87.54333333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
138,156,1002,31.45091667,-85.63223056,20,TRUE,1,251,256,373,381,"http://maps.googleapis.com/maps/api/staticmap?center=31.450916666666664,-85.63223055555554&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
139,157,1005,33.64248333,-87.19717222,20,TRUE,3,273,316,357,403,"http://maps.googleapis.com/maps/api/staticmap?center=33.64248333333333,-87.1971722222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
140,158,1007,33.60383611,-86.30294722,20,TRUE,1,288,514,389,614,"http://maps.googleapis.com/maps/api/staticmap?center=33.603836111111114,-86.30294722222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
141,159,1009,30.34691111,-87.50575,20,TRUE,1,252,270,391,390,"http://maps.googleapis.com/maps/api/staticmap?center=30.346911111111112,-87.50575&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
142,160,1018,33.15725833,-85.38911667,20,TRUE,8,217,225,412,416,"http://maps.googleapis.com/maps/api/staticmap?center=33.15725833333333,-85.38911666666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
143,161,1026,32.71683611,-87.749525,20,TRUE,1,273,262,411,379,"http://maps.googleapis.com/maps/api/staticmap?center=32.716836111111114,-87.749525&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
144,162,1027,34.66028611,-86.04923889,20,TRUE,0,216,179,366,336,"http://maps.googleapis.com/maps/api/staticmap?center=34.66028611111111,-86.04923888888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
145,163,1028,34.66259722,-86.04676667,20,TRUE,2,239,242,393,385,"http://maps.googleapis.com/maps/api/staticmap?center=34.66259722222222,-86.04676666666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
146,164,1031,32.42866944,-87.05701111,20,TRUE,1,221,224,413,410,"http://maps.googleapis.com/maps/api/staticmap?center=32.428669444444445,-87.05701111111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
148,166,1036,32.60753333,-85.09458611,20,TRUE,8,259,264,380,378,"http://maps.googleapis.com/maps/api/staticmap?center=32.607533333333336,-85.09458611111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
149,167,1048,32.53345278,-85.91171389,20,TRUE,other,277,287,361,361,"http://maps.googleapis.com/maps/api/staticmap?center=32.53345277777777,-85.91171388888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
151,169,1050,30.43111111,-88.17916667,20,TRUE,other,221,357,367,604,"http://maps.googleapis.com/maps/api/staticmap?center=30.43111111111111,-88.17916666666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
152,170,1052,31.93070778,-87.73750389,20,TRUE,8,121,267,271,424,"http://maps.googleapis.com/maps/api/staticmap?center=31.93070777777778,-87.73750388888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
154,172,1056,33.25671111,-87.45049167,20,TRUE,3,255,273,355,369,"http://maps.googleapis.com/maps/api/staticmap?center=33.25671111111111,-87.45049166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
156,174,1059,34.67171389,-87.63281389,20,TRUE,unknown,256,265,372,366,"http://maps.googleapis.com/maps/api/staticmap?center=34.67171388888889,-87.63281388888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
157,175,1063,32.829542,-85.168723,20,TRUE,unknown,275,269,377,380,"http://maps.googleapis.com/maps/api/staticmap?center=32.829542000000004,-85.168723&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
158,176,1065,33.42725833,-86.34083889,20,TRUE,1,279,274,369,365,"http://maps.googleapis.com/maps/api/staticmap?center=33.42725833333333,-86.34083888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
159,177,1066,33.29444444,-85.48027778,20,TRUE,1,243,92,348,193,"http://maps.googleapis.com/maps/api/staticmap?center=33.294444444444444,-85.4802777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
160,178,1070,33.24653333,-86.46913333,20,TRUE,8,248,196,395,342,"http://maps.googleapis.com/maps/api/staticmap?center=33.24653333333333,-86.46913333333332&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
161,179,1073,33.42711111,-85.49343611,20,TRUE,8,282,275,383,370,"http://maps.googleapis.com/maps/api/staticmap?center=33.42711111111111,-85.49343611111111&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
162,180,1074,33.37303889,-85.39678333,20,TRUE,1,283,44,410,185,"http://maps.googleapis.com/maps/api/staticmap?center=33.373038888888885,-85.39678333333335&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
163,181,1083,35.28869667,-91.35846167,20,TRUE,1,127,444,260,577,"http://maps.googleapis.com/maps/api/staticmap?center=35.28869666666667,-91.35846166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
164,182,1087,35.76711944,-91.63543611,20,TRUE,1,242,243,394,392,"http://maps.googleapis.com/maps/api/staticmap?center=35.767119444444454,-91.63543611111112&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
165,183,1091,34.57424444,-92.58603056,20,TRUE,1,261,257,374,378,"http://maps.googleapis.com/maps/api/staticmap?center=34.57424444444445,-92.58603055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
166,184,1093,36.33901111,-94.19049444,20,TRUE,1,239,234,407,403,"http://maps.googleapis.com/maps/api/staticmap?center=36.33901111111111,-94.19049444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
167,185,1096,36.35924167,-93.55090278,20,TRUE,1,250,250,398,393,"http://maps.googleapis.com/maps/api/staticmap?center=36.35924166666667,-93.5509027777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
169,187,1103,35.94341667,-89.91775,20,TRUE,1,272,267,365,358,"http://maps.googleapis.com/maps/api/staticmap?center=35.943416666666664,-89.91775&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
171,189,1127,35.46120278,-93.44535556,20,TRUE,1,252,251,363,372,"http://maps.googleapis.com/maps/api/staticmap?center=35.46120277777778,-93.44535555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
173,191,1133,35.05778333,-92.41911944,20,TRUE,1,262,263,382,384,"http://maps.googleapis.com/maps/api/staticmap?center=35.05778333333333,-92.41911944444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
174,192,1136,35.08548611,-92.45831111,20,TRUE,1,262,244,389,377,"http://maps.googleapis.com/maps/api/staticmap?center=35.08548611111112,-92.45831111111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
176,194,1145,35.05463333,-93.38298889,20,TRUE,unknown,258,250,369,368,"http://maps.googleapis.com/maps/api/staticmap?center=35.05463333333333,-93.38298888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
178,196,1147,34.04768611,-94.35375,20,TRUE,8,250,252,367,369,"http://maps.googleapis.com/maps/api/staticmap?center=34.04768611111111,-94.35375&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
179,197,1149,34.27880833,-91.33862778,20,TRUE,2,253,253,372,365,"http://maps.googleapis.com/maps/api/staticmap?center=34.27880833333333,-91.33862777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
182,200,1167,36.40013611,-93.74367778,20,TRUE,8,270,280,339,359,"http://maps.googleapis.com/maps/api/staticmap?center=36.40013611111111,-93.74367777777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
183,201,1172,36.07924583,-94.15909278,20,TRUE,1,185,168,357,334,"http://maps.googleapis.com/maps/api/staticmap?center=36.079245833333346,-94.1590927777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
184,202,1173,36.1082,-94.15876667,20,TRUE,1,242,241,382,392,"http://maps.googleapis.com/maps/api/staticmap?center=36.1082,-94.15876666666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
185,203,1180,33.81126389,-92.42474167,20,TRUE,8,258,260,377,377,"http://maps.googleapis.com/maps/api/staticmap?center=33.81126388888889,-92.42474166666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
187,205,1186,35.37315833,-94.41933333,20,TRUE,1,263,257,399,393,"http://maps.googleapis.com/maps/api/staticmap?center=35.373158333333336,-94.41933333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
188,206,1187,35.35375,-94.35205278,20,TRUE,unknown,247,262,399,398,"http://maps.googleapis.com/maps/api/staticmap?center=35.35375,-94.35205277777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
189,207,1192,36.40927778,-94.46005556,20,TRUE,8,277,258,377,356,"http://maps.googleapis.com/maps/api/staticmap?center=36.409277777777774,-94.46005555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
190,208,1206,36.23646,-93.10934306,20,TRUE,1,250,231,370,356,"http://maps.googleapis.com/maps/api/staticmap?center=36.23646,-93.10934305555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
191,209,1211,35.50488889,-91.99769444,20,TRUE,unknown,259,238,377,362,"http://maps.googleapis.com/maps/api/staticmap?center=35.504888888888885,-91.99769444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
192,210,1214,34.50982472,-90.62621778,20,TRUE,unknown,299,250,443,403,"http://maps.googleapis.com/maps/api/staticmap?center=34.50982472222222,-90.62621777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
193,211,1218,36.45527778,-93.71935833,20,TRUE,1,252,260,400,380,"http://maps.googleapis.com/maps/api/staticmap?center=36.45527777777778,-93.71935833333332&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
194,212,1221,33.64845,-93.58503889,20,TRUE,1,32,259,157,379,"http://maps.googleapis.com/maps/api/staticmap?center=33.64845,-93.58503888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
